feature1,feature2,target
0.7441705230565623,34,0
0.7209399242521293,96,0
0.3080607918523892,48,1
0.5425402305548993,89,1
0.50881407683876,1,0
0.6363326181858954,16,0
0.25046181860558414,61,0
0.5898708475605439,64,1
0.978892858275009,63,1
0.4867421529594551,69,1
0.906098787718554,22,0
0.43439436551042865,93,0
0.3500784076946757,67,1
0.6451033620305648,76,1
0.6689240596630996,26,0
0.8641675650719031,16,1
0.23018526824155527,51,1
0.4991933798847523,86,0
0.5720041992091831,57,1
0.768554014306309,29,0
0.04360377175443375,78,0
0.994550510797341,92,0
0.46994451399094295,69,0
0.2795603417967586,47,0
0.883494022266259,94,0
0.7477187738974139,62,0
0.9530718470239532,69,1
0.3307503046705137,76,0
0.5527649668354899,16,0
0.5722924691708383,90,1
0.9803315837160457,90,1
0.07534625600612821,48,1
0.30569701928718185,85,0
0.19091103115034602,39,1
0.2684748568901568,33,0
0.4852798742763157,94,0
0.3726868670940493,23,0
0.3946914668094722,10,0
0.8442131407263114,69,1
0.9300168348108319,34,1
0.0704161308495439,52,0
0.20891871761536018,95,0
0.6711435168240506,10,0
0.3586467812961639,19,1
0.25416364906973876,58,0
0.29529058841893874,96,0
0.3225507642386005,1,1
0.8486697949246744,69,1
0.13662133144202881,4,0
0.7089109969101186,16,1
0.5528199769079077,24,1
0.2965101436477985,80,0
0.4197808564462765,2,1
0.25620694359445806,92,0
0.6115137108656805,32,1
0.08159418040024036,91,0
0.005184862773986776,84,0
0.6278944149486361,24,0
0.19427395351204224,12,1
0.07094091699992766,50,0
0.3967838272138884,35,1
0.050768531039396936,33,0
0.8866171489506599,33,0
0.027616771873704704,61,1
0.5788648955075587,51,0
0.43847412301808697,43,0
0.6720261352951994,12,1
0.32815266747473193,67,0
0.1550416167277442,65,0
0.9818408883105311,33,0
0.8389335020693633,40,0
0.8604046183116753,74,1
0.25025136051586405,43,1
0.0388347344294232,44,0
0.3032655146732228,29,1
0.5370824271966554,13,0
0.3266512417960409,12,1
0.8278690037875887,95,0
0.2715429158197419,46,0
0.9652518303907698,2,0
0.45726516161372854,35,0
0.8420230750119814,87,0
0.19438003399487302,81,0
0.41135390505667857,90,1
0.6995122107671938,8,0
0.13835309241780136,93,1
0.1327454222429698,26,0
0.969536867114159,74,1
0.7145951041799521,90,1
0.04106751676787579,34,1
0.39882090144479454,7,0
0.43352073758074205,68,0
0.7440426429991154,58,1
0.2508605273466612,75,0
0.18433367433137005,29,1
0.08087296661719767,36,0
0.42831447494010777,89,1
0.6884999007653664,21,1
0.05819359550844361,36,0
0.9152137276264805,10,1
